source,target,threshold,matches
amazon,nvidia,5,37945
amazon,mineru,5,46422
amazon,deepseek,5,59502
amazon,qwen,5,65641
amazon,nano,5,62792
nvidia,amazon,5,37215
nvidia,mineru,5,34968
nvidia,deepseek,5,35371
nvidia,qwen,5,35700
nvidia,nano,5,35393
mineru,amazon,5,44759
mineru,nvidia,5,34795
mineru,deepseek,5,42795
mineru,qwen,5,43488
mineru,nano,5,43406
deepseek,amazon,5,55968
deepseek,nvidia,5,36054
deepseek,mineru,5,43965
deepseek,qwen,5,57461
deepseek,nano,5,55908
qwen,amazon,5,68768
qwen,nvidia,5,36710
qwen,mineru,5,46353
qwen,deepseek,5,64477
qwen,nano,5,69756
nano,amazon,5,59962
nano,nvidia,5,35867
nano,mineru,5,44869
nano,deepseek,5,57805
nano,qwen,5,63717
