source,target,threshold,matches
amazon,nvidia,5,37185
amazon,mineru,5,45688
amazon,deepseek,5,49031
amazon,qwen,5,52756
amazon,nano,5,51300
nvidia,amazon,5,37135
nvidia,mineru,5,36222
nvidia,deepseek,5,35659
nvidia,qwen,5,36542
nvidia,nano,5,36309
mineru,amazon,5,45508
mineru,nvidia,5,36209
mineru,deepseek,5,43430
mineru,qwen,5,44804
mineru,nano,5,44505
deepseek,amazon,5,50212
deepseek,nvidia,5,36110
deepseek,mineru,5,43932
deepseek,qwen,5,51712
deepseek,nano,5,50533
qwen,amazon,5,54237
qwen,nvidia,5,36719
qwen,mineru,5,45229
qwen,deepseek,5,52123
qwen,nano,5,56376
nano,amazon,5,51349
nano,nvidia,5,36365
nano,mineru,5,44752
nano,deepseek,5,50077
nano,qwen,5,55028
