,parish,municipality,parish_old,matched_parish
5,Mt.,Stockholm,Mt.,Matteus
7,M,Stockholm,M,Maria
9,J.,Stockholm,J.,Jakobs o. Johannes
10,H.,Stockholm,H.,Hedvig Eleonora
14,G,Stockholm,G,Gustaf Wasa
17,Kl,Stockholm,Kl,Klara
18,O,Stockholm,O,Oscars
23,E,Stockholm,E,Engelbrekts
31,Kh.,Stockholm,Kh.,Kungsholms
34,J,Stockholm,J,Jakobs o. Johannes
37,Kt,Stockholm,Kt,Katarina
45,N.,Stockholm,N.,Nikolai
53,Kt.,Stockholm,Kt.,Katarina
54,A.,Stockholm,A.,Adolf Fredriks
61,Mt,Stockholm,Mt,Matteus
67,Kh,Stockholm,Kh,Kungsholms
78,A,Stockholm,A,Adolf Fredriks
82,H,Stockholm,H,Hedvig Eleonora
94,G.,Stockholm,G.,Gustaf Wasa
95,O.,Stockholm,O.,Oscars
196,Kl.,Stockholm,Kl.,Klara
201,M.,Stockholm,M.,Maria
213,E.,Stockholm,E.,Engelbrekts
754,Kt..,Stockholm,Kt..,Katarina
947,N,Stockholm,N,Nikolai
1386,J.,Stockholm,'J.,Jakobs o. Johannes
2294,G..,Stockholm,G..,Gustaf Wasa
2374,J..,Stockholm,J..,Jakobs o. Johannes
4623,E..,Stockholm,E..,Engelbrekts
5189,E.,Stockholm,'E.,Engelbrekts
12131,M.,Stockholm,'M.,Maria
12662,N..,Stockholm,N..,Nikolai
15360,G.;,Stockholm,G.;,Gustaf Wasa
17635,Kl.,Stockholm,¿Kl.,Klara
17683,Kl.;,Stockholm,Kl.;,Klara
17761,H.,Stockholm,'H.,Hedvig Eleonora
17776,Kh.,Stockholm,\Kh.,Kungsholms
20749,M.;,Stockholm,M.;,Maria
22247,H.;,Stockholm,H.;,Hedvig Eleonora
22678,Kl..,Stockholm,Kl..,Klara
22922,O.,Stockholm,*O.,Oscars
24645,Dj:holm,Stockholm,Dj:holm,Djursholm
26838,Dj :holm,Stockholm,Dj :holm,Djursholm
27752,Dj:holm;,Stockholm,Dj:holm;,Djursholm
28720,Dj;holm,Stockholm,Dj;holm,Djursholm
61036,Dj:holm,Stockholms lan,Dj:holm,Djursholm
24370,Huddinge,Stockholm,Huddinge,Huddinge
24372,Saltsjo- baden,Stockholm,Saltsjo- baden,Saltsjobaden
24374,Brann- kyrka,Stockholm,Brann- kyrka,Brannkyrka
24376,Botkyrka,Stockholm,Botkyrka,Botkyrka
24379,Lidingoo,Stockholm,Lidingoo,Lidingo
24380,Djursholm,Stockholm,Djursholm,Djursholm
24386,Lidingo,Stockholm,Lidingo,Lidingo
24393,Solna,Stockholm,Solna,Solna
