,occ_llm
0,grosshand].kassaforvaltaresparbankskassor
1,chef for stockholm-ofre norrlands fonda.
2,e. O. hofr.=not.f. d. angf.-befalh.
3,statsinsp. ofver elektr. anlaggn.
4,sakkunnigt bitrade av jur. kand.
763,oltappningsaffarsinneh.:a Karls-
5,tryckeriforestandareofverhofjagm
6,for lagman landt- bruksinstitut
8,innehafvare af nordisk resebyra
7,handelskam.-sekr.riksbankskamr.
13,gas- & vattenledn.-entreprenor
10,f. d. kommissionslandt- matare
9,f. d. jarnvagsofverkonduk- tor
11,meteorolog. instrument- makare
14,skeppmatningsofverkon- trollor
12,gas- vattenledn. entre- prenor
111,f. d. fattigv.-tillsyningsman
15,f. d. e. O. kammar- skrifvare
3,f. d. generalkonsut (afliden)
378,engelska herrkonfektionsfabr.
570,vatten- O. varmeledningsentr
16,f. d. inspektionskon- stapel
17,byggnads- och spar-kassefond
18,kommendorkapten 1:sta graden
19,marinintend. af 1:sta graden
26,kommendor i fralsningsarmén
20,byggnads- och sparkassefond
33,t. f. 1:ste bibliote- karie
21,landgsorganisationens ordf.
27,f. d. protokollssekreterare
22,marinintendent 1:sta graden
29,meteorologisk instrumentmak
24,vattenledningsentrepre- nor
25,adj. ledamot i svea hofratt
28,marinintend. af1:sta graden
23,handelsidk a / handelsidk:a
36,marinintend. af 1:a graden
32,f. d. tryckeriforestandare
55,t. f. yrkesinsp.-assistent
39,arkitekt och mobelfabrikor
17,elementarskoleforestander-
33,ofverlakare vid hospitalet
34,folkhogskoleforestan- dare
38,metrolog. instrumentmakare
31,f. d. forste hofmar- skalk
49,f. d. kommunaluppbordskas-
35,handels- och politieborgm.
1155,h.-ag.. Gustafs. 2870-4840
37,egentligen professionshand
30,kassarnbyggnadskontrollant
40,ministre plenipotentiaire
146,f. d. modellsnickarforman
41,kgl. svensk hofleverantor
48,grundlaggn.-entrepre- nor
335,fattigvardstillsyningsman
462,t. f. kriminalofverkonst.
47,ministre plénipotentiaire
52,grundlaggerientre- prenor
184,navigationsskoleinspektor
60,f. d. kommunaluppbordsman
51,adi. ledamot i svea hofr.
46,skeppsmatningsofverkontr.
49,bleck- och platsl.-idkare
193,telefonvaktforestanderska
50,t. f. skatteuppbords- man
43,1:ste stations- skrifvare
42,generalkrigskommis- sarie
44,grundlaggerientrepre- nor
45,vattenledningsentreprenor
80,f. d. hande'stradgardsm.
918,elektricitetsverksforest
53,fattigvardsinsp.-assist.
56,metrol. instrumentmakare
611,f. d. kommissionslandtm.
133,f. d. marketenteriforest
67,fattigv.-insp.-assistent
63,jarnvagsofverkonduk- tor
60,jarn- och redskapshandel
230,besiktningsrustmastare H
57,bleck o. platslageriakt.
65,handelsoch politieborgm.
62,utskankningsforestandare
55,folkhogskoleforestandare
171,halsovardstillsyningsman
53,handelstradgardsmaastare
61,f. d. teckningslararinna
64,provisoriska inspektorat
20,t. f. stadsdistriktslak.
234,f. d. bradgardsinspektor
66,renhallningsforestandare
59,internationell radgivare
463,t. f. kammarrattsnotarie
673,befalln.-man. Kopparberg
58,f. d. kakelugns- makarm.
