parish,county
Sallerup,Skåne
Ölmstad,Jönköpings
Å,Östergötlands
Abild,Hallands
Åby,Västra Götalands
Åby,Östergötlands
Åby,Kalmar
Acklinga,Skaraborgs
Ådals-Liden,Västernorrlands
Adelöv,Jönköpings
Adelsö,Stockholms
Adolf Fredrik,Stockholms
Aggarp,Skåne
Agnetorp,Skaraborgs
Agunnaryd,Kronobergs
Åhus,Kristianstads
Åkarp,Skåne
Akebäck,Gotlands
Åker,Södermanlands
Åker,Jönköpings
Åkerby,Uppsala
Ål,Dalarnas
Ala,Gotlands
Alanäs,Jämtlands
Åland,Uppsala
Alboga,Älvsborgs
Alböke,Kalmar
Älekulla,Älvsborgs
Ålem,Kalmar
Ale-Skövde,Älvsborgs
Alfshög,Hallands
Alfta,Gävleborgs
Älgå,Värmlands
Älgarås,Skaraborgs
Älgaryd,Jönköpings
Älghult,Kronobergs
Algutsboda,Kalmar
Algutsrum,Kalmar
Algutstorp,Älvsborgs
Ålidhem,Västerbottens
Alingsås,Älvsborgs
Alingsås landsförsamling,Älvsborgs
Alingsås reformerta,Älvsborgs
Älleköpinge,Kristianstads
Allerum,Skåne
Allhelgona,Östergötlands
Allmänna arbetsinrättningen,Stockholms
Allmänna försörjningsinrättningen,Stockholms
Allmänna institutet å Manilla för dövstumma och blinda,Stockholms
Allmänna straffängelset,Västra Götalands
Allmänna straff- och arbetsfängelset å Långholmen,Stockholms
Almby,Örebro
Älmeboda,Kronobergs
Almesåkra,Jönköpings
Älmhult,Kronobergs
Almundsryd,Kronobergs
Almunge,Uppsala
Alnö,Västernorrlands
Alseda,Jönköpings
Alsen,Jämtlands
Alsike,Uppsala
Alskog,Gotlands
Alstad,Skåne
Alster,Värmlands
Altuna,Uppsala
Alunda,Uppsala
Alva,Gotlands
Älvdal,Värmlands
Älvdalen,Dalarnas
Älvdalens kbfd,Dalarnas
Alvesta,Kronobergs
Älvestad,Östergötlands
Älvkarleby,Uppsala
Älvros,Jämtlands
Älvsåker,Hallands
Älvsbacka,Värmlands
Älvsborg,Västra Götalands
Älvsborgs kbfd,Västra Götalands
Älvsby,Norrbottens
Älvsered,Hallands
Åmål,Älvsborgs
Åmåls landsförsamling,Älvsborgs
Ambjörnarp,Älvsborgs
Amiralitetsförsamlingen,Blekinge
Amiralitetsförsamlingen på Ladugårdslandet,Stockholms
Amiralitetsvarvsförsamlingen,Västra Götalands
Ämmeskog,Värmlands
Amnehärad,Skaraborgs
Åmot,Gävleborgs
Amsberg,Dalarnas
Åmsele,Västerbottens
Åmsele kbfd,Västerbottens
Ämtervik,Värmlands
Anderslöv,Skåne
Anderstorp,Jönköpings
Anderstorps kbfd,Jönköpings
Andra gardesregementet,Stockholms
Andra Göta artilleriregemente,Jönköpings
Andrarum,Kristianstads
Aneboda,Kronobergs
Anga,Gotlands
Angarn,Stockholms
Ånge kbfd,Västernorrlands
Ängelholm,Kristianstads
Ängelholms garnisonsförsamling,Kristianstads
Angelstad,Kronobergs
Angerdshestra,Jönköpings
Angered,Västra Götalands
Ängersjö,Jämtlands
Ängsö,Västmanlands
Ånimskog,Älvsborgs
Annefors,Gävleborgs
Annelöv,Skåne
Annerstad,Kronobergs
Ånsta,Örebro
Anundsjö,Västernorrlands
Anundsjö kbfd,Västernorrlands
Äppelbo,Dalarnas
Appuna,Östergötlands
Åraslöv,Kristianstads
Araslöv,Kristianstads
Arbetsfängelset å Långholmen,Stockholms
Arbetsfängelset å Norrmalm,Stockholms
Arbets- och correctionsinrättningen,Västra Götalands
Arboga kbfd,Västmanlands
Arboga landsförsamling,Västmanlands
Arboga stadsförsamling,Västmanlands
Arbrå,Gävleborgs
Arby,Kalmar
Arby kapell,Kalmar
Årdala,Södermanlands
Ardre,Gotlands
Åre,Jämtlands
Ärentuna,Uppsala
Aringsås,Kronobergs
Ärja,Södermanlands
Arjeplog,Norrbottens
Arjeplogs kbfd,Norrbottens
Ärla,Södermanlands
Arnäs,Västernorrlands
Arnö,Uppsala
Aros,Uppsala
Arrie,Skåne
Årstad,Hallands
Årsta kbfd,Stockholms
Årsunda,Gävleborgs
Ärtemark,Älvsborgs
Artermark,Älvsborgs
Artilleriförsamlingen,Stockholms
Arvidsjaur,Norrbottens
Arvidsjaurs kbfd,Norrbottens
Arvika köping,Värmlands
Arvika östra,Värmlands
Arvika västra,Värmlands
Åryd,Blekinge
Ås,Hallands
Ås,Skaraborgs
Ås,Jämtlands
Ås,Jönköpings
Ås,Kalmar
Asa,Kronobergs
Åsarne,Jämtlands
Asarum,Blekinge
Åsbo,Östergötlands
Åsbräcka,Älvsborgs
Asby,Östergötlands
Åseda,Kronobergs
Åsele,Västerbottens
Åsenhöga,Jönköpings
